fiscal_year,corp_code,corp_name,stock_code,market,sector,n_annual_report_filings,n_annual_corrections,any_correction
2018,00104786,미래아이앤지,007120,KOSPI,"컴퓨터 프로그래밍, 시스템 통합 및 관리업",1,0,0
2018,00104856,삼성증권,016360,KOSPI,금융 지원 서비스업,1,0,0
2018,00104999,윌비스,008600,KOSPI,생활용품 도매업,1,0,0
2018,00105101,INVENI,015360,KOSPI,회사 본부 및 경영 컨설팅 서비스업,1,0,0
2018,00105156,극동유화,014530,KOSPI,석유 정제품 제조업,1,0,0
2018,00105271,케이씨씨,002380,KOSPI,기타 화학제품 제조업,1,0,0
2018,00105280,현대지에프홀딩스,005440,KOSPI,기타 금융업,1,0,0
2018,00105299,금강공업,014280,KOSPI,1차 철강 제조업,2,1,1
2018,00105606,금호에이치티,214330,KOSPI,자동차 신품 부품 제조업,3,2,1
2018,00105855,엘에스일렉트릭,010120,KOSPI,"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",2,1,1
2018,00105873,LG디스플레이,034220,KOSPI,전자부품 제조업,1,0,0
2018,00105952,LS,006260,KOSPI,기타 금융업,1,0,0
2018,00105961,LG이노텍,011070,KOSPI,전자부품 제조업,1,0,0
2018,00106119,금양,001570,KOSPI,기초 화학물질 제조업,2,1,1
2018,00106313,금호건설,002990,KOSPI,건물 건설업,1,0,0
2018,00106368,금호석유화학,011780,KOSPI,기초 화학물질 제조업,1,0,0
2018,00106395,금호전기,001210,KOSPI,전구 및 조명장치 제조업,1,0,0
2018,00106614,기신정기,092440,KOSPI,특수 목적용 기계 제조업,1,0,0
2018,00106623,현대위아,011210,KOSPI,자동차 신품 부품 제조업,1,0,0
2018,00106641,기아,000270,KOSPI,자동차용 엔진 및 자동차 제조업,1,0,0
2018,00106669,세아베스틸지주,001430,KOSPI,1차 철강 제조업,2,1,1
2018,00106881,인디에프,014990,KOSPI,봉제의복 제조업,1,0,0
2018,00107066,남광토건,001260,KOSPI,기타 금융업,1,0,0
2018,00107224,남선알미늄,008350,KOSPI,1차 비철금속 제조업,1,0,0
2018,00107598,남양유업,003920,KOSPI,동·식물성 유지 및 낙농제품 제조업,1,0,0
2018,00107613,이수페타시스,007660,KOSPI,전자부품 제조업,1,0,0
2018,00107677,비비안,002070,KOSPI,봉제의복 제조업,1,0,0
2018,00107987,남해화학,025860,KOSPI,"비료, 농약 및 살균, 살충제 제조업",1,0,0
2018,00108038,엔피씨,004250,KOSPI,플라스틱제품 제조업,1,0,0
2018,00108135,녹십자홀딩스,005250,KOSPI,회사 본부 및 경영 컨설팅 서비스업,1,0,0
2018,00108241,농심,004370,KOSPI,기타 식품 제조업,1,0,0
2018,00108746,DKME,015590,KOSPI,일반 목적용 기계 제조업,1,0,0
2018,00108913,대교,019680,KOSPI,초등 교육기관,1,0,0
2018,00108940,대성홀딩스,016710,KOSPI,회사 본부 및 경영 컨설팅 서비스업,1,0,0
2018,00108977,대구백화점,006370,KOSPI,종합 소매업,1,0,0
2018,00109161,태경케미컬,006890,KOSPI,기초 화학물질 제조업,1,0,0
2018,00109189,대덕,008060,KOSPI,기타 금융업,1,0,0
2018,00109286,대동,000490,KOSPI,특수 목적용 기계 제조업,1,0,0
