corp_code,corp_name,stock_code,corp_cls,report_nm,rcept_no,flr_nm,rcept_dt,rm,query_year,year
00158325,NICE평가정보,030190,Y,반기보고서 (2019.06),20190814001193,NICE평가정보,20190814,,2019,2019
00158325,NICE평가정보,030190,Y,[첨부추가]분기보고서 (2019.03),20190515000799,NICE평가정보,20190515,,2019,2019
00158325,NICE평가정보,030190,Y,사업보고서 (2018.12),20190329002018,NICE평가정보,20190329,연,2019,2019
00158325,NICE평가정보,030190,Y,분기보고서 (2020.09),20201116000490,NICE평가정보,20201116,,2020,2020
00158325,NICE평가정보,030190,Y,반기보고서 (2020.06),20200814000796,NICE평가정보,20200814,,2020,2020
00158325,NICE평가정보,030190,Y,분기보고서 (2020.03),20200515000742,NICE평가정보,20200515,,2020,2020
00158325,NICE평가정보,030190,Y,사업보고서 (2019.12),20200330001709,NICE평가정보,20200330,연,2020,2020
00158325,NICE평가정보,030190,Y,분기보고서 (2021.09),20211115000575,NICE평가정보,20211115,,2021,2021
00158325,NICE평가정보,030190,Y,반기보고서 (2021.06),20210817000283,NICE평가정보,20210817,,2021,2021
00158325,NICE평가정보,030190,Y,분기보고서 (2021.03),20210517000613,NICE평가정보,20210517,,2021,2021
00158325,NICE평가정보,030190,Y,사업보고서 (2020.12),20210317000949,NICE평가정보,20210317,연,2021,2021
00158325,NICE평가정보,030190,Y,분기보고서 (2022.09),20221114002586,NICE평가정보,20221114,,2022,2022
